unit_description,altercation_2014,civ_complaint_all,dept_complaint_all,count
BUREAU OF INTERNAL AFFAIRS,FALSE,TRUE,FALSE,4
JUVENILE INTERVENTION SUPPORT CENTER (JISC),FALSE,TRUE,FALSE,4
DISTRICT 004,TRUE,FALSE,TRUE,4
CENTRAL DETENTION UNIT,TRUE,TRUE,TRUE,4
DISTRICT 012,TRUE,FALSE,TRUE,4
GANG ENFORCEMENT - AREA NORTH,TRUE,TRUE,FALSE,4
DISTRICT 016,TRUE,TRUE,FALSE,4
DISTRICT 020,TRUE,TRUE,FALSE,4
CANINE UNIT,TRUE,TRUE,TRUE,4
MAJOR ACCIDENT INVESTIGATION UNIT,FALSE,TRUE,FALSE,4
MANAGEMENT AND LABOR AFFAIRS SECTION,FALSE,TRUE,TRUE,3
JUVENILE INTERVENTION SUPPORT CENTER (JISC),TRUE,TRUE,TRUE,3
JUVENILE INTERVENTION SUPPORT CENTER (JISC),FALSE,FALSE,TRUE,3
GANG ENFORCEMENT - AREA NORTH,FALSE,TRUE,FALSE,3
CENTRAL INVESTIGATIONS DIVISION,TRUE,TRUE,TRUE,3
FORENSIC SERVICES EVIDENCE TECHNICIAN SECTION,FALSE,FALSE,TRUE,3
BUREAU OF PATROL - AREA SOUTH,FALSE,TRUE,TRUE,3
FORENSIC SERVICES DIVISION,FALSE,FALSE,TRUE,3
CRIME CONTROL STRATEGIES SECTION,FALSE,TRUE,TRUE,3
CANINE UNIT,FALSE,TRUE,FALSE,3
DISTRICT 009,TRUE,FALSE,TRUE,3
DISTRICT 018,TRUE,FALSE,TRUE,3
POLICE DOCUMENTS SECTION,FALSE,TRUE,TRUE,3
DISTRICT 022,TRUE,FALSE,TRUE,3
BUREAU OF  DETECTIVES,FALSE,TRUE,FALSE,3
SPECIAL ACTIVITIES SECTION,FALSE,TRUE,FALSE,3
MARINE OPERATIONS UNIT,FALSE,TRUE,FALSE,3
ASSET FORFEITURE INVESTIGATION SECTION,FALSE,TRUE,FALSE,3
ASSET FORFEITURE INVESTIGATION SECTION,FALSE,FALSE,TRUE,3
HUMAN RESOURCES DIVISION,FALSE,TRUE,FALSE,2
BUREAU OF SUPPORT SERVICES,FALSE,TRUE,TRUE,2
INFORMATION SERVICES DIVISION,FALSE,FALSE,TRUE,2
INFORMATION SERVICES DIVISION,FALSE,TRUE,FALSE,2
YOUTH INVESTIGATION DIVISION,FALSE,TRUE,FALSE,2
AIRPORT LAW ENFORCEMENT SECTION - NORTH,TRUE,TRUE,FALSE,2
MARINE OPERATIONS UNIT,FALSE,FALSE,TRUE,2
BUREAU OF PATROL - AREA CENTRAL,FALSE,TRUE,TRUE,2
BUREAU OF ORGANIZED CRIME,FALSE,FALSE,TRUE,2
MAJOR ACCIDENT INVESTIGATION UNIT,FALSE,FALSE,TRUE,2
PROFESSIONAL COUNSELING DIVISION,FALSE,TRUE,TRUE,2
MOUNTED UNIT,TRUE,TRUE,TRUE,2
MOUNTED UNIT,FALSE,TRUE,FALSE,2
MARINE OPERATIONS UNIT,TRUE,TRUE,TRUE,2
BUREAU OF PATROL,FALSE,FALSE,TRUE,2
SPECIAL INVESTIGATIONS UNIT,FALSE,TRUE,FALSE,2
DISTRICT 020,TRUE,FALSE,TRUE,2
INFORMATION SERVICES DIVISION,TRUE,TRUE,TRUE,2
CENTRAL DETENTION UNIT,FALSE,TRUE,FALSE,2
DETECTIVE AREA - CENTRAL,TRUE,FALSE,TRUE,2
DETECTIVE AREA - NORTH,TRUE,FALSE,TRUE,2
DEPLOYMENT OPERATIONS CENTER,FALSE,TRUE,FALSE,2
DETECTIVE AREA - SOUTH,TRUE,TRUE,FALSE,2
EXECUTIVE OFFICERS UNIT,TRUE,TRUE,TRUE,2
DISTRICT 001,TRUE,FALSE,TRUE,2
GANG ENFORCEMENT - AREA CENTRAL,TRUE,TRUE,FALSE,2
DISTRICT 008,TRUE,FALSE,TRUE,2
GANG ENFORCEMENT - AREA SOUTH,FALSE,TRUE,FALSE,2
DISTRICT 022,TRUE,TRUE,FALSE,2
GANG ENFORCEMENT DIVISION,FALSE,TRUE,FALSE,2
DISTRICT 017,TRUE,FALSE,TRUE,2
GANG ENFORCEMENT - AREA SOUTH,TRUE,TRUE,FALSE,2
SPECIAL FUNCTIONS SUPPORT UNIT,FALSE,TRUE,FALSE,1
REPRODUCTION AND GRAPHIC ARTS SECTION,FALSE,FALSE,TRUE,1
REPRODUCTION AND GRAPHIC ARTS SECTION,FALSE,TRUE,TRUE,1
RESEARCH AND DEVELOPMENT DIVISION,FALSE,FALSE,TRUE,1
RESEARCH AND DEVELOPMENT DIVISION,FALSE,TRUE,FALSE,1
BUREAU OF  DETECTIVES,FALSE,FALSE,TRUE,1
SPECIAL EVENTS UNIT,FALSE,FALSE,TRUE,1
SPECIAL EVENTS UNIT,FALSE,TRUE,FALSE,1
SPECIAL FUNCTIONS DIVISION,FALSE,FALSE,TRUE,1
BOMB SQUAD,TRUE,TRUE,TRUE,1
SPECIAL FUNCTIONS DIVISION,TRUE,TRUE,TRUE,1
TRANSIT SECURITY UNIT,FALSE,FALSE,TRUE,1
TRAFFIC SECTION,TRUE,TRUE,TRUE,1
TROUBLED BUILDING UNIT,FALSE,TRUE,TRUE,1
TRANSIT SECURITY UNIT,TRUE,TRUE,TRUE,1
