year,distance,speed,index,,,,
2016,10.059,12.325812,245,,,,
2016,10.04,12.19137,246,,,,
2016,8.108,12.190246,247,,,,
2016,8.111,12.251515,248,,,,
2016,10.007,12.431291,249,,,,
2016,12.02,12.366566,250,,,,
2016,8.871,11.303669,251,,,,
2016,8.047,12.410873,252,,,,
2016,5,9.306163,253,,,,
2016,9.999,12.034924,254,,,,
2016,7.342,12.744972,255,,,,
2016,8.004,12.2386675,256,,,,
2016,6.156,12.08323,257,,,,
2016,4.052,11.422655,258,,,,
2016,8.005,12.101778,259,,,,
2016,8.465,10.840715,260,,,,
2016,10.052,12.750996,261,,,,
2016,14.013,12.323286,262,,,,
2016,14.004,12.954925,263,,,,
2016,8.841,10.23056,264,,,,
2016,10.006,13.152636,265,,,,
2016,10.016,13.003978,266,,,,
2016,18.416,12.602268,267,,,,
2016,18.007,11.965846,268,,,,
2016,12.103,13.361829,269,,,,
2016,10.009,12.233428,270,,,,
2016,14.011,12.428515,271,,,,
2016,10.008,12.61943,272,,,,
2016,12.059,12.583961,273,,,,
2016,10.021,13.057297,274,,,,
2016,18.007,12.165022,275,,,,
2016,8.729,12.455108,276,,,,
2016,8.613,11.274376,277,,,,
2016,3.4,12.75,278,,,,
2016,5.282,13.017244,279,,,,
2016,14.141,12.875199,280,,,,
2016,8.062,12.717202,281,,,,
2016,10.282,12.23313,282,,,,
2016,10.316,12.633189,283,,,,
2016,8.274,12.787853,284,,,,
2016,8.36,12.644395,285,,,,
2016,10.014,12.557964,286,,,,
2016,7.23,12.874135,287,,,,
2016,8.014,13.423586,288,,,,
2016,6.964,12.771341,289,,,,
2016,4.525,12.769439,290,,,,
2016,5.033,12.510193,291,,,,
2016,8.168,13.0700245,292,,,,
2016,17.329,11.53166,293,,,,
2015,11.005,12.552336,294,,,,
2015,10.289,12.940054,295,,,,
2015,9.609,12.886094,296,,,,
2015,9.893,13.223967,297,,,,
2015,13.403,10.506597,298,,,,
2015,8.273,12.1392,299,,,,
2015,21.514,12.138586,300,,,,
2015,8.621,11.799733,301,,,,
2015,10.837,12.606183,302,,,,
2015,14.005,12.209622,303,,,,
2015,17.36,11.482396,304,,,,
2015,7.155,10.327598,305,,,,
2015,7.269,10.0676155,306,,,,
2015,1.995,10.207374,307,,,,
2015,12.018,13.027367,308,,,,
